[1209/162224.763:INFO:CONSOLE(585)] "Uncaught TypeError: Cannot read property 'value' of undefined", source: file:///C:/Users/summerki/Desktop/2018-12-9/code/DCPC_Project/DirectConnectionPredictControl/bin/Debug/Charts/test.html (585)
[1228/171926.832:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171926.872:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171929.028:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171931.839:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171931.903:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171934.042:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171936.851:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171936.915:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171939.052:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171941.866:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171941.931:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171944.061:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171946.871:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171946.936:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171949.068:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171951.877:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171951.942:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171954.074:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171956.883:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171956.946:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171959.083:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
